image_tag,npm_version
19.4-browsers,latest
19.4-browsers,8.19.3
19.4-browsers,7.24.2
19.4-browsers,6.14.18
19.4,latest
19.4,8.19.3
19.4,7.24.2
19.4,6.14.18
18.13-browsers,latest
18.13-browsers,8.19.3
18.13-browsers,7.24.2
18.13-browsers,6.14.18
18.13,latest
18.13,8.19.3
18.13,7.24.2
18.13,6.14.18
17.9-browsers,latest
17.9-browsers,8.19.3
17.9-browsers,7.24.2
17.9-browsers,6.14.18
17.9,latest
17.9,8.19.3
17.9,7.24.2
17.9,6.14.18
16.19-browsers,latest
16.19-browsers,8.19.3
16.19-browsers,7.24.2
16.19-browsers,6.14.18
16.19,latest
16.19,8.19.3
16.19,7.24.2
16.19,6.14.18
16.10.0-browsers,8.19.3
